 	Sigma1	Sigma2	Distance	Sigma
558	2.94	1.33	7.38	3.22684056
559	2.58	1.67	13.32	3.07332068
560	2.59	1.2	12.94	2.854487695
561	2.59	1.57	13.31	3.028696089
562	2.52	1.42	23.42	2.892542135
563	2.56	1.44	34.21	2.93720956
564	2.11	1.37	19.21	2.515750385
565	2.27	1.35	6.22	2.641098256
566	2.9	1.3	15.59	3.178049716
567	3.34	1.23	19.09	3.559283636
568	2.41	1.13	10.88	2.661766331
569	4.2	1.28	24.53	4.390717481
570	3.46	1.38	26.23	3.725050335
571	3.65	1.28	27.83	3.867932264
572	1.72	3.18	28.68	3.615356137
573	1.92	2.93	12.18	3.503041536
574	1.92	2.93	7.66	3.503041536
575	1.86	2.68	12.64	3.262207841
576	1.92	3.36	14.62	3.869883719
577	1.92	2.27	2.9	2.973096029
578	2.42	3.25	15.42	4.052024186
579	2.42	3.46	4.57	4.222321636
580	1.71	2.99	17.72	3.444444803
581	1.73	2.73	1.51	3.231996287
582	1.44	2.89	18.44	3.228885257
583	1.28	3.5	14.41	3.726714371
584	1.49	2.93	12.98	3.287095983
585	1.46	3.12	19.81	3.444706083
586	1.8	3.04	15.82	3.532930795
587	1.46	3.23	19.79	3.544643847
588	1.96	3.3	22.01	3.83817665
589	1.78	4.48	21.07	4.820663855
590	2.17	4.68	15.82	5.158614155
591	2.85	1.37	8.89	3.16218279
592	2.69	1.84	7.3	3.259094966
593	1.96	0.94	21.83	2.173752516
594	3.02	1.75	13.21	3.490401123
595	1.81	0.87	18.11	2.008233054
596	2.81	1.17	8.6	3.043846251
597	3.46	1.53	0.54	3.783186488
598	1.79	1.14	12.17	2.122192263
599	2.89	1.34	9.24	3.185545479
600	2.25	1.21	16.36	2.55472112
601	2.35	1.62	6.12	2.854277492
602	3	1.43	11.67	3.323386827
603	2.18	1.08	14.23	2.432858401
604	2.79	1.48	3.81	3.158243183
605	2.53	1.61	5.99	2.998833106
606	1.99	0.94	11.23	2.200840748
607	2.48	1.36	12.67	2.828427125
608	1.86	2.01	9.41	2.738558015
609	1.75	0.89	17.89	1.963313526
610	2.39	1.64	7.39	2.898568612
611	1.8	0.99	15.71	2.054288198
612	3.01	1.8	10.01	3.50714984
613	2.72	1.78	13.1	3.250661471
614	2.06	1.11	5.21	2.340021367
615	2.92	2	12.34	3.539265461
616	2.48	1.56	19.08	2.929846412
617	2.55	1.63	14.71	3.026450066
618	2.51	1.77	28.48	3.071318935
619	2.48	1.56	16.82	2.929846412
620	2.27	1.63	12.5	2.794601939
621	3.67	1.35	8.76	3.910421972
622	2.62	1.83	7.49	3.195825402
623	3.92	1.86	10.67	4.338893868
624	3.31	1.37	16.63	3.582317686
625	2.19	1.96	8.2	2.938996427
626	2.75	2.29	6.59	3.578631023
627	2.94	1.75	15.83	3.421417835
628	4	1.93	20.66	4.44127234
629	3.55	1.56	20.95	3.877641035
630	3.21	1.38	15.98	3.494066399
631	2.37	1.82	11.44	2.988193434
632	2.52	1.75	20.26	3.06804498
633	2.88	2.22	14.43	3.636316818
634	3.22	1.79	24.33	3.684087404
635	2.48	1.43	12.17	2.862743439
636	3.57	1.87	2.79	4.030111661
637	2.38	1.81	7.81	2.990066889
638	2.99	1.47	8.84	3.331816321
639	2.81	1.17	8.6	3.043846251
640	2.89	1.34	9.24	3.185545479
641	2.35	1.62	6.12	2.854277492
642	2.79	1.48	3.81	3.158243183
643	2.48	1.36	12.67	2.828427125
644	2.39	1.64	7.39	2.898568612
645	3.01	1.8	10.01	3.50714984
646	2.92	2	12.34	3.539265461
647	2.55	1.63	14.71	3.026450066
