 	Sigma1	Sigma2	Distance	Sigma
1076	2.02	0.86	8.59	2.19544984
1077	2.74	3	5.9	4.06295459
1078	1.97	0.85	4.6	2.145553542
1079	2.73	2.34	9.55	3.595622338
1080	1.77	0.84	4.76	1.959209024
1081	3.4	1.74	11.66	3.819371676
1082	1.49	0.88	8.89	1.730462366
1083	3.25	2.3	4.84	3.98151981
1084	1.81	0.84	6.69	1.995419755
1085	3.06	2.87	7.19	4.195294984
1086	1.82	0.88	2.64	2.021583538
1087	3.52	1.89	7.83	3.99530975
1088	3.55	1.94	22.85	4.045503677
1089	2.34	1.02	3.09	2.552645686
1090	2.99	2.12	17.48	3.665310355
1091	2.81	1.09	13.83	3.014000664
1092	2.91	2.15	12.92	3.618093421
1093	1.98	1	10.42	2.218197466
1094	3.45	2.4	7.47	4.202677718
1095	3.31	0.83	12.11	3.412477106
1096	3.85	2.16	15.59	4.414532818
1097	2.8	1.17	9.62	3.034616945
1098	3.65	1.96	7.1	4.142957881
1099	2.76	0.97	14.5	2.925491412
1100	3.19	2.4	6.48	3.992004509
1101	2.71	1.32	9.47	3.014382192
1102	3.39	2.18	3.73	4.030446625
1103	1.67	0.94	17.93	1.91637679
1104	3.74	2.19	10.34	4.334016613
1105	2.58	0.95	16.11	2.749345377
1106	3.28	1.02	12.95	3.434938136
1107	2.71	2.41	12.33	3.6265962
1108	2.77	0.97	10.3	2.934927597
1109	3.16	3.3	22.16	4.568982381
1110	2.65	1.14	1.53	2.884805019
1111	2.15	0.93	18.15	2.342520011
1112	2.34	1.02	3.09	2.552645686
1113	2.81	1.09	13.83	3.014000664
1114	1.98	1	10.42	2.218197466
1115	3.31	0.83	12.11	3.412477106
1116	2.8	1.17	9.62	3.034616945
1117	2.76	0.97	14.5	2.925491412
1118	2.71	1.32	9.47	3.014382192
1119	1.67	0.94	17.93	1.91637679
1120	2.58	0.95	16.11	2.749345377
1121	3.28	1.02	12.95	3.434938136
1122	2.77	0.97	10.3	2.934927597
1123	2.65	1.14	1.53	2.884805019
1124	3.23	2.52	8.29	4.096742608
1125	3.33	2.49	5.67	4.158004329
1126	3.41	2.5	11.4	4.228250229
1127	3.39	2.5	5.6	4.212137225
1128	3.1	2.53	5.15	4.001362268
1129	3.23	2.55	15.82	4.115264269
1130	3.2	2.47	10.15	4.042387908
1131	3.43	2.46	8.59	4.220959607
1132	3.14	2.51	2.66	4.019912934
1133	3.19	2.45	4.87	4.022263045
1134	3.29	2.47	5.42	4.114000486
1135	3.44	2.5	16.58	4.252481628
1136	3.19	2.52	3.62	4.065279818
1137	3.12	2.59	4.91	4.054935265
1138	3.16	3.69	6.55	4.858158087
1139	3.29	2.48	14.96	4.120012136
1140	3.21	2.61	3.51	4.137172948
1141	3.2	2.47	11	4.042387908
1142	3.23	2.55	5.16	4.115264269
1143	3.13	2.43	4.38	3.962549684
1144	2.65	4.48	13.87	5.205084053
1145	2.94	4.29	4.99	5.200740332
1146	2.65	4.29	2.62	5.042479549
1147	1.83	3.68	16.04	4.109902675
1148	3.16	4.59	9.08	5.572584679
1149	3.77	4.22	6.41	5.658736608
1150	3.44	3.63	8.75	5.00104989
1151	4.1	3.63	15	5.476029584
1152	4.01	4.14	8.62	5.763653355
1153	3.87	4.07	9.94	5.616208686
1154	2.62	2.11	16.72	3.364000595
1155	3.11	2.38	9.37	3.916184367
1156	2.58	1.96	5.76	3.240061728
1157	3.14	2	9.29	3.722848372
1158	3.84	2.01	14.16	4.33424734
1159	3.48	3	9.61	4.594605533
1160	4	2.28	14.27	4.604172021
1161	3.75	1.94	17.74	4.222096636
1162	3.37	2.44	2.18	4.160588901
1163	3.21	2.61	5.09	4.137172948
1164	4.23	4.03	8.28	5.842413885
1165	3.55	3.2	9.94	4.779382805
1166	3.69	3.19	1.32	4.877724879
1167	3.69	3.45	16	5.051593808
1168	3.56	3.3	18.79	4.854235264
1169	3.58	3.27	16.14	4.848638984
1170	3.65	3.2	11.48	4.85412196
1171	3.73	3.18	9.93	4.901560976
1172	3.82	3.29	6.92	5.041477958
1173	3.73	3.22	15.96	4.92760591
1174	3.76	3.37	15.42	5.049207859
1175	3.75	3.21	8.5	4.93625364
1176	3.65	3.25	27.54	4.887228253
1177	3.61	3.29	21.79	4.884280909
1178	3.65	3.44	27.58	5.015585709
1179	3.62	3.35	24.74	4.932230733
1180	3.63	3.29	17.91	4.899081547
1181	3.57	3.35	17.88	4.895651131
1182	3.6	3.14	11.9	4.776986498
1183	3.54	2.35	10.71	4.24901165
1184	3.83	2.46	12.76	4.551977592
1185	3.75	1.94	17.74	4.222096636
1186	3.37	2.44	2.18	4.160588901
1187	3.21	2.61	5.09	4.137172948
1188	4.23	4.03	8.28	5.842413885
1189	3.07	2.61	14.56	4.0295161
1190	3.32	2.4	12.61	4.096632764
1191	3.4	2.11	13.73	4.001512214
1192	3	1.83	12.66	3.514100169
1193	3.37	2.44	2.18	4.160588901
1194	3.21	2.61	5.09	4.137172948
1195	4.23	4.03	8.28	5.842413885
1196	2.42	3.1	23.59	3.932734418
1197	1.96	3.54	12.14	4.046381099
1198	4.45	1.2	8.08	4.608958668
1199	3.43	1.37	3.12	3.693480743
1200	4.18	1.48	6.02	4.434275589
1201	2.15	1.99	5.34	2.929607482
1202	2.23	1.63	6.82	2.762209261
1203	2.48	1.55	13.51	2.924534151
1204	4.31	1.43	18.82	4.541035124
1205	2.64	1.29	8.35	2.938315844
1206	2.35	1.57	7.17	2.826198861
1207	2.85	1.48	9.11	3.211370424
1208	2.38	1.41	7.62	2.766315239
1209	3.02	1.29	15.37	3.283976248
1210	2.48	1.33	15.62	2.814125086
1211	2.15	1.36	20.71	2.544032233
1212	2.82	1.37	5.26	3.135171447
1213	3.69	1.27	2.68	3.902435137
1214	1.71	0.88	20.71	1.92314846
1215	1.92	0.9	17.53	2.120471646
1216	2.27	0.9	1.8	2.441904994
1217	1.81	0.87	7.61	2.008233054
1218	2.03	0.88	2.23	2.212532486
1219	2.18	0.82	8.23	2.329120005
1220	1.76	0.9	2.4	1.976765034
1221	2.4	0.94	16.62	2.577518186
1222	2.59	0.93	18.77	2.751908429
1223	2.6	0.96	21.43	2.771569952
1224	2.71	0.99	17.55	2.885168973
1225	2.71	1.02	16.59	2.895600111
1226	2.15	1.02	15.86	2.379684853
1227	2.63	0.96	21.1	2.79973213
1228	3	1	27.52	3.16227766
1229	2.28	0.9	19.96	2.451203786
1230	2.11	0.88	12.92	2.286153976
1231	2.27	0.9	1.8	2.441904994
1232	1.81	0.87	7.61	2.008233054
1233	2.03	0.88	2.23	2.212532486
1234	2.18	0.82	8.23	2.329120005
1235	1.76	0.9	2.4	1.976765034
1236	2.4	0.94	16.62	2.577518186
1237	2.59	0.93	18.77	2.751908429
1238	2.6	0.96	21.43	2.771569952
1239	2.71	0.99	17.55	2.885168973
1240	2.71	1.02	16.59	2.895600111
1241	2.15	1.02	15.86	2.379684853
1242	2.63	0.96	21.1	2.79973213
1243	3	1	27.52	3.16227766
1244	2.74	1.88	18.83	3.322950496
1245	2.15	1.74	3.14	2.765881415
1246	2.04	1.55	7.7	2.56204996
1247	2.27	1.59	14.44	2.771461708
1248	2.97	1.54	18.75	3.345519392
1249	3.26	1.57	18.13	3.61835598
1250	2.89	1.92	19.54	3.469654161
1251	3.44	1.48	35.7	3.744863148
1252	2.63	1.72	26.54	3.142499006
1253	2.33	2.05	16.87	3.103449693
1254	2.31	1.54	22.76	2.776274482
1255	2.95	1.99	28.04	3.558454721
1256	3.31	1.69	21.86	3.716476826
1257	3.32	1.96	13.54	3.855385843
1258	2.49	2.16	7.6	3.296316126
1259	3.05	2.64	9.45	4.03386911
1260	3.36	2.26	2.91	4.049345626
1261	3.32	1.96	13.54	3.855385843
